
	Du är en hjälpsam assistent vars uppgift är att skriva en Wikipedia-artikel om Världsmästerskapen i taekwondo 2022, skriv artikeln på svenska.
	Du får ENDAST använda nedanstående egenskapsvärdepar som din informationskälla.
	Du behöver inte förklara varför du inte kan skapa en fullständig wikipedia artikel eller om du inte vet så får du gissa så bra du kan. 
 	Jag vill ENDAST ha Wikipedia artikeln, jag behöver ingen information om hur du har skapat artikeln. 
  	Lägg inte till några nya källor. Skriv artikeln så likt Wikipedia som möjligt. Skriv artikeln så utförligt som möjligt.
	Svara på svenska.  

	label: 2022 World Taekwondo Championships
comment: The 2022 World Taekwondo Championships was the 25th edition of the World Taekwondo Championships and was held at the Centro Acuático CODE Metropolitano, in Guadalajara, Mexico from 13 to 20 November 2022. It was at first scheduled to be held in Cancún, Mexico. This was the second time after 2013, that Mexico has held the event.
name: 2022
depiction: 2022_World_Taekwondo_Championships_logo.png
subject: Category:2022_World_Taekwondo_Championships
subject: Category:2022_in_Mexican_sports
subject: Category:2022_in_taekwondo
subject: Category:November_2022_sports_events_in_Mexico
subject: Category:Sport_in_Guadalajara,_Jalisco
subject: Category:International_taekwondo_competitions_hosted_by_Mexico
subject: Category:Taekwondo_in_Mexico
subject: Category:World_Taekwondo_Championships
wikiPageID: 72137207
wikiPageRevisionID: 1123238519
wikiPageWikiLink: Cancún
wikiPageWikiLink: Carlos_Sansores
wikiPageWikiLink: Rukiye_Yıldırım
wikiPageWikiLink: Sarah_Chaari
wikiPageWikiLink: Category:2022_World_Taekwondo_Championships
wikiPageWikiLink: Category:2022_in_Mexican_sports
wikiPageWikiLink: Category:2022_in_taekwondo
wikiPageWikiLink: Category:November_2022_sports_events_in_Mexico
wikiPageWikiLink: Bradly_Sinden
wikiPageWikiLink: Brandon_Plaza
wikiPageWikiLink: Vito_Dell'Aquila
wikiPageWikiLink: Mehdi_Khodabakhshi
wikiPageWikiLink: Sajjad_Mardani
wikiPageWikiLink: Mohamed_Khalil_Jendoubi
wikiPageWikiLink: Nadica_Božanić
wikiPageWikiLink: Category:Sport_in_Guadalajara,_Jalisco
wikiPageWikiLink: 2019_World_Taekwondo_Championships
wikiPageWikiLink: Category:International_taekwondo_competitions_hosted_by_Mexico
wikiPageWikiLink: Category:Taekwondo_in_Mexico
wikiPageWikiLink: Andrea_Ramírez_(taekwondo)
wikiPageWikiLink: Lee_Da-bin
wikiPageWikiLink: Lena_Stojković
wikiPageWikiLink: Leslie_Soltero
wikiPageWikiLink: Liang_Yushuai
wikiPageWikiLink: Lo_Chia-ling
wikiPageWikiLink: Luo_Zongshi
