
	Du är en hjälpsam assistent vars uppgift är att skriva en Wikipedia-artikel om Europacupen i kast 2022, skriv artikeln på svenska.
	Du får ENDAST använda nedanstående egenskapsvärdepar som din informationskälla.
	Du behöver inte förklara varför du inte kan skapa en fullständig wikipedia artikel eller om du inte vet så får du gissa så bra du kan. 
 	Jag vill ENDAST ha Wikipedia artikeln, jag behöver ingen information om hur du har skapat artikeln. 
  	Lägg inte till några nya källor. Skriv artikeln så likt Wikipedia som möjligt. Skriv artikeln så utförligt som möjligt.
	Svara på svenska.  

	label: 2022 European Throwing Cup
comment: The 2022 European Throwing Cup was held from 12 to 13 March 2022 in Leiria, Portugal.
depiction: Leiria2022logo.png
subject: Category:2022_in_Portuguese_sport
subject: Category:2022_in_athletics_(track_and_field)
subject: Category:March_2022_sports_events_in_Portugal
subject: Category:European_Throwing_Cup
wikiPageID: 70210654
wikiPageRevisionID: 1118830874
wikiPageWikiLink: Roberto_Orlando_(athlete)
wikiPageWikiLink: Sara_Fantini
wikiPageWikiLink: 2021_European_Throwing_Cup
wikiPageWikiLink: Category:2022_in_Portuguese_sport
wikiPageWikiLink: Category:2022_in_athletics_(track_and_field)
wikiPageWikiLink: Category:March_2022_sports_events_in_Portugal
wikiPageWikiLink: Belarus
wikiPageWikiLink: Bence_Halász
wikiPageWikiLink: Victoria_Hudson_(athlete)
wikiPageWikiLink: Russia
wikiPageWikiLink: Mykhaylo_Kokhan
wikiPageWikiLink: Leiria
wikiPageWikiLink: Liliana_Cá
wikiPageWikiLink: Līna_Mūze
wikiPageWikiLink: Simon_Pettersson
wikiPageWikiLink: Zane_Weir
wikiPageWikiLink: Auriol_Dongmo
wikiPageWikiLink: 2022_Russian_invasion_of_Ukraine
wikiPageWikiLink: Adriana_Vilagoš
wikiPageWikiLink: Alexandra_Tavernier
wikiPageWikiLink: Alexandru_Novac
wikiPageWikiLink: Daisy_Osakue
wikiPageWikiLink: Daniel_Ståhl
wikiPageWikiLink: Ewa_Różańska
wikiPageWikiLink: Fanny_Roos
wikiPageWikiLink: Nick_Ponzio
wikiPageWikiLink: List_of_Dutch_records_in_athletics
wikiPageWikiLink: Category:European_Throwing_Cup
wikiPageWikiLink: Javier_Cienfuegos
wikiPageWikiLink: Teuraiterai_Tupaia
wikiPageWikiLink: Jessica_Schilder
wikiPageWikiLink: Laura_Redondo
wikiPageWikiLink: Leandro_Ramos
wikiPageWikiLink: Marcus_Thomsen
wikiPageWikiLink: Marija_Vučenović
wikiPageWikiLink: Portugal
wikiPageWikiLink: 2023_European_Throwing_Cup
wikiPageWikiLink: Kristjan_Čeh
wikiPageWikiLink: European_Throwing_Cup
wikiPageWikiLink: Alperen_Karahan
wikiPageWikiLink: Amanda_Ngandu-Ntumba
wikiPageWikiLink: Ragnar_Carlsson
wikiPageWikiLink: Pınar_Akyol
wikiPageWikiLink: Julia_Valtanen
wikiPageWikiLink: Jule_Steuer
wikiPageWikiLink: Mattijs_Mols
wikiPageWikiLink: Merlin_Hummel
wikiPageWikiLink: Charlotte_Payne
wikiPageWikiLink: György_Herczeg
wikiPageWikiLink: Kaja_M._Peteersen
wikiPageWikiLink: Alida_van_Daalen
wikiPageWikiLink: Giorgio_Olivieri
wikiPageWikiLink: Martynas_Alekna
wikiPageWikiLink: Lisa_Brix_Pedersen
wikiPageWikiLink: Patriks_Gailums
wikiPageWikiLink: Antonia_Kinzel
wikiPageWikiLink: Muhamet_Ramadani
wikiPageWikiLink: Osman_Kul
wikiPageWikiLink: Ruben_Rolvink
wikiPageWikiLink: Elísabet_Rúnarsdóttir
wikiPageExternalLink: ETC2022_ATH_C73S_ATHWHAMMER--SENIOR----FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHMDISCUS--SENIOR----FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHMDISCUS--U23-------FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHMHAMMER--SENIOR----FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHMHAMMER--U23-------FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHMJAVELIN-SENIOR----FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHMJAVELIN-U23-------FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHMSHOTPUT-SENIOR----FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHMSHOTPUT-U23-------FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHWDISCUS--SENIOR----FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHWDISCUS--U23-------FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHWHAMMER--U23-------FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHWJAVELIN-SENIOR----FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHWJAVELIN-U23-------FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHWSHOTPUT-SENIOR----FNL---------.pdf
wikiPageExternalLink: ETC2022_ATH_C73S_ATHWSHOTPUT-U23-------FNL---------.pdf
silverKos: 1
silverLtu: 0
silverSlo: 0
silverSrb: 0
thumbnail: Leiria2022logo.png?width=300
bronzeTur: 0
goldTur: 2
silverTur: 1
bronzeNed: 0
bronzeNed: 2
goldNed: 0
silverNed: 1
bronzeFin: 1
bronzeFra: 0
bronzeGer: 2
bronzeHun: 0
bronzeHun: 1
bronzeIta: 1
bronzeIta: 2
bronzeNor: 0
bronzeNor: 1
bronzePol: 0
bronzeSwe: 3
bronzeUkr: 0
dates: --03-13
flagTemplate: flagcountry
goldFin: 0
goldFra: 1
goldFra: 2
goldGer: 0
goldHun: 0
goldHun: 1
goldIta: 0
goldIta: 2
goldNor: 0
goldPol: 1
goldSwe: 0
goldUkr: 1
host: POR
location: Leiria
location: Portugal
next: 2023_European_Throwing_Cup
previous: 2021_European_Throwing_Cup
silverFin: 0
silverFra: 0
silverFra: 1
silverGer: 1
silverHun: 0
silverIta: 0
silverIta: 1
silverNor: 0
silverNor: 1
silverPol: 0
silverSwe: 1
silverUkr: 0
bronzeEsp: 0
bronzeLat: 0
bronzePor: 0
bronzePor: 1
bronzeRou: 0
goldEsp: 0
goldLat: 1
goldPor: 0
goldPor: 1
goldRou: 1
silverEsp: 2
silverLat: 1
silverPor: 0
silverPor: 1
silverRou: 0
bronzeAut: 0
bronzeDen: 0
bronzeGbr: 0
goldAut: 0
goldDen: 0
goldGbr: 0
silverAut: 1
silverDen: 1
silverGbr: 1
bronzeIsl: 1
goldIsl: 0
silverIsl: 0
abstract: The 2022 European Throwing Cup was held from 12 to 13 March 2022 in Leiria, Portugal.
bronzeKos: 0
bronzeLtu: 0
bronzeSlo: 0
bronzeSrb: 0
bronzeSrb: 1
goldKos: 0
goldLtu: 1
goldSlo: 1
goldSrb: 0
goldSrb: 1
hostPor: yes
wasDerivedFrom: 2022_European_Throwing_Cup?oldid=1118830874&ns=0
wikiPageLength: 9068
isPrimaryTopicOf: 2022_European_Throwing_Cup
	
