
	Du är en hjälpsam assistent vars uppgift är att skriva en Wikipedia-artikel om Eurovision Song Contest 2023, skriv artikeln på svenska.
	Du får ENDAST använda nedanstående egenskapsvärdepar som din informationskälla.
	Du behöver inte förklara varför du inte kan skapa en fullständig wikipedia artikel eller om du inte vet så får du gissa så bra du kan. 
 	Jag vill ENDAST ha Wikipedia artikeln, jag behöver ingen information om hur du har skapat artikeln. 
  	Lägg inte till några nya källor. Skriv artikeln så likt Wikipedia som möjligt. Skriv artikeln så utförligt som möjligt.
	Svara på svenska.  

	type: Thing
label: Eurovision Song Contest 2023
comment: The Eurovision Song Contest 2023 is the upcoming 67th edition of the Eurovision Song Contest. It is set to take place in Liverpool, United Kingdom, after Ukraine, winner of the 2022 contest with the song "Stefania" by Kalush Orchestra, was unable to meet the demands of hosting the event due to security concerns caused by the 2022 Russian invasion of Ukraine. Organised by the European Broadcasting Union (EBU) and host broadcaster the British Broadcasting Corporation (BBC) on behalf of the Public Broadcasting Company of Ukraine (UA:PBC), the contest will be held at the Liverpool Arena, and will consist of two semi-finals on 9 and 11 May, and a final on 13 May 2023. It will be a record-extending ninth time that the United Kingdom hosts the contest, having last done so in Birmingham in 1998.
seeAlso: Voting_at_the_Eurovision_Song_Contest
name: Eurovision Song Contest
depiction: Green_pog.svg
depiction: Black_pog.svg
depiction: Blue_pog.svg
depiction: Red_pog.svg
depiction: Yellow_pog.svg
depiction: Liverpool_Pier_Head.jpg
depiction: M&S_Bank_Arena_1.jpg
depiction: Ic_local_airport_48px.svg
depiction: Eurovision_Song_Contest_2023.svg
subject: Category:2023_song_contests
subject: Category:Eurovision_Song_Contest_2023
subject: Category:Eurovision_Song_Contest_by_year
subject: Category:Events_affected_by_the_2022_Russian_invasion_of_Ukraine
subject: Category:May_2023_events_in_the_United_Kingdom
subject: Category:Scheduled_events
subject: Category:Events_in_Liverpool
subject: Category:Music_in_Liverpool
subject: Category:Music_competitions_in_the_United_Kingdom
wikiPageID: 68807919
wikiPageRevisionID: 1124863901
wikiPageWikiLink: Cardiff
wikiPageWikiLink: Carolina_Di_Domenico
wikiPageWikiLink: Category:2023_song_contests
wikiPageWikiLink: Category:Eurovision_Song_Contest_2023
wikiPageWikiLink: Prudhoe
wikiPageWikiLink: Sam_Ryder_(singer)
wikiPageWikiLink: Category:Eurovision_Song_Contest_by_year
wikiPageWikiLink: MRT_1
wikiPageWikiLink: Monte-Carlo_Riviera_TV
wikiPageWikiLink: Category:Events_affected_by_the_2022_Russian_invasion_of_Ukraine
wikiPageWikiLink: Category:May_2023_events_in_the_United_Kingdom
wikiPageWikiLink: Belfast
wikiPageWikiLink: Big_Five_(Eurovision)
wikiPageWikiLink: Birmingham
wikiPageWikiLink: Birmingham_City_Council
wikiPageWikiLink: Boris_Johnson
wikiPageWikiLink: Brighton
