
	Du är en hjälpsam assistent vars uppgift är att skriva en Wikipedia-artikel om Elizabeth II:s död och begravning, skriv artikeln på svenska.
	Du får ENDAST använda nedanstående egenskapsvärdepar som din informationskälla.
	Du behöver inte förklara varför du inte kan skapa en fullständig wikipedia artikel eller om du inte vet så får du gissa så bra du kan. 
 	Jag vill ENDAST ha Wikipedia artikeln, jag behöver ingen information om hur du har skapat artikeln. 
  	Lägg inte till några nya källor. Skriv artikeln så likt Wikipedia som möjligt. Skriv artikeln så utförligt som möjligt.
	Svara på svenska.  

	type: SpatialThing
label: Death and state funeral of Elizabeth II
comment: On 8 September 2022, at 15:10 BST, Elizabeth II, Queen of the United Kingdom and the other Commonwealth realms, and the longest-reigning British monarch, died of old age at Balmoral Castle in Scotland, at the age of 96. The Queen's death was publicly announced at 18:30. She was succeeded by her eldest son, Charles III.
name: Death and state funeral of Elizabeth II
lat: 57.0408
long: -3.23
depiction: Elizabeth_II's_coffin_leaves_Holyrood_Palace.jpg
depiction: Queen_Elizabeth_II's_Funeral_and_Procession_(19.Sep.2022)_-_09.jpg
depiction: Ninety-six_gun_salute_in_Saint_Lucia_following_the_Queen's_passing.jpg
depiction: 20220908-Buckingham_Palace_Elizabeth_II_death_reactions_(07).jpg
depiction: Queen_Elizabeth_Ottawa_parade_mosbo6.jpg
depiction: BBC_Queen_Elizabeth_II_Coat_of_Arms.png
depiction: Royal_Standard_of_New_Zealand_at_State_Memorial_Service_for_Queen_Elizabeth_II.jpg
depiction: King_Charles_III_in_Cardiff_(geograph_7290021).jpg
depiction: Mourn_Queen_Elizabeth_II_outside_Consulate_General_of_the_United_Kingdom,_Hong_Kong(01).jpg
depiction: AFF_Royal_Navy_Photos_(52402856485).jpg
depiction: Accession_Council_of_King_Charles_III_-_55.jpg
depiction: Accession_Council_of_King_Charles_III_-_85.jpg
depiction: Closed_for_the_Queen's_funeral_(geograph_7285643).jpg
depiction: Elizabeth_II_Death_Notice_at_Holyrood_Palace.jpg
depiction: Elizabeth_II_Lying-in-State_-_02.jpg
depiction: Elizabeth_II_Lying-in-State_-_03.jpg
