
	Du är en hjälpsam assistent vars uppgift är att skriva en Wikipedia-artikel om Junior Eurovision Song Contest 2022, skriv artikeln på svenska.
	Du får ENDAST använda nedanstående egenskapsvärdepar som din informationskälla.
	Du behöver inte förklara varför du inte kan skapa en fullständig wikipedia artikel eller om du inte vet så får du gissa så bra du kan. 
 	Jag vill ENDAST ha Wikipedia artikeln, jag behöver ingen information om hur du har skapat artikeln. 
  	Lägg inte till några nya källor. Skriv artikeln så likt Wikipedia som möjligt. Skriv artikeln så utförligt som möjligt.
	Svara på svenska.  

	type: SpatialThing
label: Junior Eurovision Song Contest 2022
comment: The Junior Eurovision Song Contest 2022 is the 20th edition of the annual Junior Eurovision Song Contest. The final will take place in Yerevan, Armenia on 11 December 2022, following the country's victory at the 2021 contest with the song "Qami Qami" by Maléna. Organised by the European Broadcasting Union (EBU) and host broadcaster Public Television Company of Armenia (AMPTV), the contest will be held at the Karen Demirchyan Sports and Concerts Complex. This will be the second time that Armenia hosts the Junior Eurovision Song Contest, the first being in 2011.
name: Junior Eurovision Song Contest
lat: 40.1881
long: 44.4833
depiction: Blue_pog.svg
depiction: Karen_Demirchyan_Sports_and_Concerts_Complex_shot_from_air,_May_2019.jpg
depiction: Junior_Eurovision_2022_logo.jpeg
subject: Category:2022_song_contests
subject: Category:Junior_Eurovision_Song_Contest_2022
subject: Category:Junior_Eurovision_Song_Contest_by_year
wikiPageID: 69551444
wikiPageRevisionID: 1125012445
wikiPageWikiLink: Carla_Lazzari
wikiPageWikiLink: Category:2022_song_contests
wikiPageWikiLink: Public_Television_Company_of_Armenia
wikiPageWikiLink: Rosa_Linn
wikiPageWikiLink: Category:Junior_Eurovision_Song_Contest_2022
wikiPageWikiLink: Bart_Arens
wikiPageWikiLink: Brazilian_Portuguese
wikiPageWikiLink: Hrvy
wikiPageWikiLink: Ukrainian_language
wikiPageWikiLink: Universal_Music_Group
wikiPageWikiLink: Category:Junior_Eurovision_Song_Contest_by_year
wikiPageWikiLink: Matheu_Hinzen
wikiPageWikiLink: TG4
wikiPageWikiLink: Radiotelevizija_Slovenija
wikiPageWikiLink: Eesti_Rahvusringhääling
wikiPageWikiLink: English_language
wikiPageWikiLink: French_language
wikiPageWikiLink: Garik_Papoyan
wikiPageWikiLink: Georgian_language
wikiPageWikiLink: NPO_3
wikiPageWikiLink: NPO_Zapp
wikiPageWikiLink: Macedonian_language
wikiPageWikiLink: Maléna_(singer)
wikiPageWikiLink: Snap_(Rosa_Linn_song)
wikiPageWikiLink: Stéphane_Bern
wikiPageWikiLink: BBC
wikiPageWikiLink: BBC_One
wikiPageWikiLink: CBBC
wikiPageWikiLink: Tony_Aguilar_(radio_personality)
wikiPageWikiLink: 2022_Russian_invasion_of_Ukraine
wikiPageWikiLink: Albanian_language
wikiPageWikiLink: Dutch_language
wikiPageWikiLink: European_Broadcasting_Union
wikiPageWikiLink: Eurovision_Song_Contest
wikiPageWikiLink: Eurovision_Song_Contest_2016
wikiPageWikiLink: Eurovision_Song_Contest_2022
