
	Du är en hjälpsam assistent vars uppgift är att skriva en Wikipedia-artikel om Super Bowl LVI, skriv artikeln på svenska.
	Du får ENDAST använda nedanstående egenskapsvärdepar som din informationskälla.
	Du behöver inte förklara varför du inte kan skapa en fullständig wikipedia artikel eller om du inte vet så får du gissa så bra du kan. 
 	Jag vill ENDAST ha Wikipedia artikeln, jag behöver ingen information om hur du har skapat artikeln. 
  	Lägg inte till några nya källor. Skriv artikeln så likt Wikipedia som möjligt. Skriv artikeln så utförligt som möjligt.
	Svara på svenska.  

	type: Thing
label: Super Bowl LVI
comment: Super Bowl LVI was an American football game played to determine the champion of the National Football League (NFL) for the 2021 season. The National Football Conference (NFC) champion Los Angeles Rams defeated the American Football Conference (AFC) champion Cincinnati Bengals, 23–20. The game was played on February 13, 2022, at SoFi Stadium in Inglewood, California, the home stadium of the Rams, marking the second consecutive and second overall Super Bowl with a team playing and winning in its home stadium.
seeAlso: Impact_of_the_COVID-19_pandemic_on_sports
name: LVI
depiction: SoFi_Stadium_2021.jpg
depiction: Joe_Burrow_Bengals.jpg
depiction: Cooper_Kupp.jpg
depiction: Sean_McVay_2019_(cropped2).jpg
depiction: Joe_Mixon_2019.jpg
depiction: LASBLVI2022.jpg
depiction: Aaron_Donald_2020_(cropped).jpg
depiction: Ja'Marr_Chase.jpg
depiction: Super_Bowl_LVI_logo.png
subject: Category:Los_Angeles_Rams_postseason
subject: Category:2022_in_sports_in_California
subject: Category:February_2022_sports_events_in_the_United_States
subject: Category:2021_National_Football_League_season
subject: Category:2022_in_American_football
subject: Category:Events_in_Inglewood,_California
subject: Category:Super_Bowl
subject: Category:Sports_competitions_in_Inglewood,_California
subject: Category:American_football_in_Inglewood,_California
subject: Category:Cincinnati_Bengals_postseason
subject: Category:2022_in_American_television
wikiPageID: 53119758
wikiPageRevisionID: 1124619940
wikiPageWikiLink: Cam_Akers
wikiPageWikiLink: Cameroon
wikiPageWikiLink: Canada
wikiPageWikiLink: Canal_5_(Mexico)
wikiPageWikiLink: Cape_Verde
wikiPageWikiLink: BeIN_Sports_(French_TV_channel)
wikiPageWikiLink: ProSieben
wikiPageWikiLink: Puerto_Rico
wikiPageWikiLink: Puls_4
wikiPageWikiLink: Robert_Woods_(wide_receiver,_born_1992)
wikiPageWikiLink: Roc_Nation
wikiPageWikiLink: Rocket_Mortgage
wikiPageWikiLink: Rolling_Stone
wikiPageWikiLink: Roman_numerals
wikiPageWikiLink: Rose_Bowl_(stadium)
wikiPageWikiLink: Sam_Hubbard
wikiPageWikiLink: Samaje_Perine
wikiPageWikiLink: Samoa
wikiPageWikiLink: Scott_Graham
wikiPageWikiLink: End-around
wikiPageWikiLink: F-16_Fighting_Falcon
wikiPageWikiLink: Metaverse
wikiPageWikiLink: NFC_Championship_Game
wikiPageWikiLink: Pro_Football_Writers_of_America_NFL_All-Rookie_Team
wikiPageWikiLink: 1951_NFL_Championship_Game
wikiPageWikiLink: Category:Los_Angeles_Rams_postseason
wikiPageWikiLink: 2009_NFL_Draft
wikiPageWikiLink: Category:2022_in_sports_in_California
wikiPageWikiLink: Category:February_2022_sports_events_in_the_United_States
wikiPageWikiLink: Beijing
wikiPageWikiLink: Bel-Air_(TV_series)
wikiPageWikiLink: Belgium
wikiPageWikiLink: Ben_Graham_(football_player)
wikiPageWikiLink: Ben_Skowronek
wikiPageWikiLink: Benin
wikiPageWikiLink: Bermuda
wikiPageWikiLink: Bill_Vinovich
wikiPageWikiLink: Billie_Jean_King
wikiPageWikiLink: Bolivia
wikiPageWikiLink: Bonaire
wikiPageWikiLink: Botswana
wikiPageWikiLink: Brazil
wikiPageWikiLink: Brian_Allen_(offensive_lineman)
wikiPageWikiLink: David_Edwards_(offensive_lineman)
wikiPageWikiLink: David_Long_(defensive_back)
wikiPageWikiLink: Democratic_Republic_of_the_Congo
wikiPageWikiLink: Denmark
wikiPageWikiLink: Denver_Broncos
wikiPageWikiLink: Detroit_Lions
wikiPageWikiLink: Johnny_Hekker
wikiPageWikiLink: Jonah_Williams_(offensive_lineman)
wikiPageWikiLink: Jordan_Fuller
wikiPageWikiLink: Pat_Summerall
wikiPageWikiLink: Patrick_Mahomes
wikiPageWikiLink: Peacock_(streaming_service)
wikiPageWikiLink: Pepsi
wikiPageWikiLink: Peru
wikiPageWikiLink: Republic_of_Ireland
wikiPageWikiLink: Rivers_Lake
wikiPageWikiLink: Rob_Havenstein
wikiPageWikiLink: Rob_Sheffield
wikiPageWikiLink: Uganda
wikiPageWikiLink: Ukraine
wikiPageWikiLink: Uncharted_(film)
wikiPageWikiLink: United_Kingdom
wikiPageWikiLink: United_States
